date,state,cases_import,cases_new,cases_recovered,population
2021-08-31,Johor,0,2159,1239,3781000
2021-08-31,Kedah,0,1942,1870,2185100
2021-08-31,Kelantan,0,1479,1233,1906700
2021-08-31,Melaka,0,417,611,932700
2021-08-31,Negeri Sembilan,0,215,473,1128800
2021-08-31,Pahang,0,798,545,1678700
2021-08-31,Perak,0,1204,1167,2510300
2021-08-31,Perlis,0,64,55,254900
2021-08-31,Pulau Pinang,0,1732,1597,1773600
2021-08-31,Sabah,0,2594,2621,3908500
2021-08-31,Sarawak,0,2285,1091,2816500
2021-08-31,Selangor,1,4371,3729,6538000
2021-08-31,Terengganu,0,608,505,1259300
2021-08-31,W.P. Kuala Lumpur,0,1003,1678,1773700
2021-08-31,W.P. Labuan,0,1,4,99600
2021-08-31,W.P. Putrajaya,0,25,47,110000
